tagged_set_id	tagged_set_name	purpose_od	purpose_dc	num_of_images	image_format	labels	horizon	lowest_point_of_hood	highest_point_of_hood	update_gt_date
63b538c22426700446cd21b3	official_batch_1_yochen_mfc520_for_train_updated	train	train	257	QUAD	EUROPE, CLEAR, CLOUDY, DAY	950	1675	1585	21/08/2023, 17:23:55
63b59fad2426700446ce6d3d	official_batch_2_yochen_mfc520_for_train_updated	train	train	307	QUAD	EUROPE, CLEAR, CLOUDY, DAY	950	1675	1585	21/08/2023, 17:23:59
63b5a0092426700446ce6d9c	official_batch_3_yochen_mfc520_for_train_updated	train	train	521	QUAD	EUROPE, CLEAR, CLOUDY, DAY	950	1675	1585	21/08/2023, 17:24:03
63b5a0522426700446ce6de7	official_batch_4_yochen_mfc520_for_train_updated	train	train	507	QUAD	EUROPE, CLEAR, DAY	950	1675	1585	21/08/2023, 17:24:06
63b5a1132426700446ce6ead	official_batch_5_yochen_mfc520_for_train_updated	train	train	1069	QUAD	EUROPE, CLEAR, CLOUDY, DAY	950	1675	1585	21/08/2023, 17:24:10
63b5a2402426700446ce7002	official_batch_7_yochen_mfc520_for_train_updated	train	train	1205	QUAD	unknown, unknown, unknown, unknown	950	1675	1585	21/08/2023, 17:24:19
63b5a2a62426700446ce7076	official_batch_8_yochen_mfc520_for_train_updated	train	train	1143	QUAD	unknown, unknown, unknown, unknown	950	1675	1585	21/08/2023, 17:24:22
63b5a3022426700446ce70e4	official_batch_9_yochen_mfc520_for_train_updated	train	train	978	QUAD	unknown, unknown, unknown, unknown	950	1675	1585	21/08/2023, 17:24:26
63b5a3472426700446ce713d	official_batch_10_yochen_mfc520_for_train_updated	train	train	646	QUAD	unknown, unknown, unknown, unknown	950	1675	1585	21/08/2023, 17:24:29
63b5a3a72426700446ce71ad	official_batch_1_kramer_conti_mfc520_day_japan_for_train_updated	train	train	1000	QUAD	unknown, unknown, unknown, unknown	950	1675	1585	21/08/2023, 17:24:32
63b5a3fe2426700446ce7224	official_batch_2_kramer_conti_mfc520_day_japan_for_train_updated	train	train	1000	QUAD	unknown, unknown, unknown, unknown	950	1675	1585	21/08/2023, 17:24:36
